Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,64801,6,0.0,1,0,66.0,0,0,0,1049,0,0
62709,443,6,5413738.0,1,0,55.0,0,0,0,257,0,0
443,62709,6,426424.0,1,0,66.0,0,0,0,501,0,0
64825,443,6,1362.0,1,0,66.0,0,0,0,64240,0,0
64825,443,6,1024113.0,1,0,66.0,0,0,0,64240,0,0
443,64825,6,257631.0,1,0,66.0,0,0,0,65535,0,0
64825,443,6,101.0,1,0,54.0,0,0,0,260,0,0
64825,443,6,408.0,1,0,571.0,0,0,0,260,0,0
443,64825,6,239369.0,1,0,153.0,0,0,0,16387,0,0
