Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
64054,443,6,0.0,1,0,104.0,0,0,0,256,0,0
443,64054,6,226378.0,1,0,93.0,0,0,0,16387,0,0
64054,443,6,50848.0,1,0,54.0,0,0,0,256,0,0
6925,63773,6,6163885.0,1,0,162.0,0,0,0,10558,0,0
63773,6925,6,314.0,1,0,234.0,0,0,0,258,0,0
6925,63773,6,219422.0,1,0,54.0,0,0,0,10558,0,0
64779,443,6,1467.0,1,0,66.0,0,0,0,64240,0,0
443,62709,6,105429.0,1,0,54.0,0,0,0,501,0,0
