Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
64749,443,6,789.0,1,0,66.0,0,0,0,64240,0,0
443,64749,6,327973.0,1,0,66.0,0,0,0,65535,0,0
64749,443,6,126.0,1,0,54.0,0,0,0,260,0,0
64749,443,6,615.0,1,0,571.0,0,0,0,260,0,0
443,64749,6,357738.0,1,0,153.0,0,0,0,16387,0,0
64749,443,6,2162.0,1,0,491.0,0,0,0,259,0,0
443,64749,6,358882.0,1,0,1414.0,0,0,0,16385,0,0
443,64749,6,913.0,1,0,1414.0,0,0,0,16385,0,0
64749,443,6,44.0,1,0,54.0,0,0,0,260,0,0
443,64749,6,778.0,1,0,1414.0,0,0,0,16385,0,0
443,64749,6,254.0,1,0,505.0,0,0,0,16385,0,0
64749,443,6,44.0,1,0,54.0,0,0,0,260,0,0
64749,443,6,1291.0,1,0,2008.0,0,0,0,260,0,0
443,64749,6,355215.0,1,0,54.0,0,0,0,16389,0,0
443,64749,6,54.0,1,0,157.0,0,0,0,16389,0,0
443,64749,6,604.0,1,0,519.0,0,0,0,16389,0,0
64749,443,6,49.0,1,0,54.0,0,0,0,258,0,0
64749,443,6,345.0,1,0,78.0,0,0,0,258,0,0
64749,443,6,86.0,1,0,54.0,0,0,0,258,0,0
443,64749,6,358832.0,1,0,54.0,0,0,0,16388,0,0
64561,443,6,63543.0,1,0,55.0,0,0,0,258,0,0
62709,443,6,2287077.0,1,0,55.0,0,0,0,257,0,0
443,62709,6,428005.0,1,0,66.0,0,0,0,501,0,0
63773,6925,6,570534.0,1,0,270.0,0,0,0,259,0,0
6925,63773,6,227356.0,1,0,54.0,0,0,0,10558,0,0
6925,63773,6,166485.0,1,0,146.0,0,0,0,10558,0,0
63773,6925,6,56287.0,1,0,54.0,0,0,0,259,0,0
62706,8883,6,1345276.0,1,0,85.0,0,0,0,256,0,0
8883,62706,6,312701.0,1,0,85.0,0,0,0,501,0,0
62706,8883,6,62529.0,1,0,54.0,0,0,0,256,0,0
