Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
62709,443,6,66616.0,1,0,55.0,0,0,0,257,0,0
64808,443,6,3003.0,1,0,66.0,0,0,0,64240,0,0
443,62709,6,191351.0,1,0,66.0,0,0,0,501,0,0
443,64808,6,64352.00000000001,1,0,66.0,0,0,0,65535,0,0
64808,443,6,149.0,1,0,54.0,0,0,0,260,0,0
64808,443,6,613.0,1,0,571.0,0,0,0,260,0,0
443,64808,6,166080.0,1,0,153.0,0,0,0,16387,0,0
64808,443,6,829.0,1,0,491.0,0,0,0,259,0,0
443,64808,6,13755.0,1,0,1414.0,0,0,0,16385,0,0
443,64808,6,486.0,1,0,1414.0,0,0,0,16385,0,0
443,64808,6,0.0,1,0,1414.0,0,0,0,16385,0,0
443,64808,6,0.0,1,0,505.0,0,0,0,16385,0,0
64808,443,6,73.0,1,0,54.0,0,0,0,260,0,0
64808,443,6,908.0,1,0,2008.0,0,0,0,260,0,0
443,64808,6,290857.0,1,0,157.0,0,0,0,16389,0,0
443,64808,6,3047.0,1,0,519.0,0,0,0,16386,0,0
64808,443,6,56.0,1,0,54.0,0,0,0,258,0,0
64808,443,6,299.0,1,0,78.0,0,0,0,258,0,0
64808,443,6,61.0,1,0,54.0,0,0,0,258,0,0
443,64808,6,123354.0,1,0,54.0,0,0,0,16386,0,0
