Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
63773,6925,6,0.0,1,0,383.0,0,0,0,259,0,0
6925,63773,6,231878.0,1,0,54.0,0,0,0,10558,0,0
6925,63773,6,173646.0,1,0,148.0,0,0,0,10558,0,0
63773,6925,6,43174.0,1,0,54.0,0,0,0,259,0,0
64561,443,6,190757.0,1,0,1414.0,0,0,0,258,0,0
443,64561,6,151546.0,1,0,54.0,0,0,0,34,0,0
64561,443,6,55.0,1,0,2774.0,0,0,0,258,0,0
443,64561,6,155356.0,1,0,54.0,0,0,0,34,0,0
64561,443,6,78.0,1,0,1414.0,0,0,0,258,0,0
443,64561,6,198.0,1,0,54.0,0,0,0,35,0,0
64561,443,6,49.0,1,0,1414.0,0,0,0,258,0,0
62709,443,6,11153.0,1,0,55.0,0,0,0,257,0,0
443,64561,6,147800.0,1,0,54.0,0,0,0,35,0,0
443,64561,6,0.0,1,0,54.0,0,0,0,35,0,0
64561,443,6,68.0,1,0,521.0,0,0,0,258,0,0
443,62709,6,49744.0,1,0,54.0,0,0,0,501,0,0
62709,443,6,63.0,1,0,54.0,0,0,0,257,0,0
443,64561,6,110647.0,1,0,93.0,0,0,0,36,0,0
64561,443,6,43073.0,1,0,54.0,0,0,0,258,0,0
443,62709,6,84092.0,1,0,66.0,0,0,0,501,0,0
443,64561,6,432448.0,1,0,355.0,0,0,0,36,0,0
443,64561,6,90.0,1,0,89.0,0,0,0,36,0,0
443,64561,6,0.0,1,0,85.0,0,0,0,36,0,0
64561,443,6,37.0,1,0,54.0,0,0,0,257,0,0
64561,443,6,1848.0,1,0,89.0,0,0,0,257,0,0
443,64561,6,197692.0,1,0,54.0,0,0,0,36,0,0
