Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
64054,443,6,0.0,1,0,104.0,0,0,0,256,0,0
443,64054,6,226220.0,1,0,93.0,0,0,0,16387,0,0
64815,443,6,48069.0,1,0,66.0,0,0,0,64240,0,0
64054,443,6,7882.999999999999,1,0,54.0,0,0,0,256,0,0
443,64815,6,229026.0,1,0,66.0,0,0,0,65535,0,0
64815,443,6,76.0,1,0,54.0,0,0,0,260,0,0
64815,443,6,311.0,1,0,276.0,0,0,0,260,0,0
443,64815,6,283766.0,1,0,1414.0,0,0,0,2049,0,0
443,64815,6,131.0,1,0,1126.0,0,0,0,2049,0,0
64815,443,6,25.0,1,0,54.0,0,0,0,260,0,0
64815,443,6,4230.0,1,0,212.0,0,0,0,260,0,0
443,64815,6,275275.0,1,0,105.0,0,0,0,2049,0,0
443,64815,6,0.0,1,0,123.0,0,0,0,2049,0,0
64815,443,6,96.0,1,0,54.0,0,0,0,259,0,0
64815,443,6,1942.0,1,0,141.0,0,0,0,259,0,0
64815,443,6,122.0,1,0,92.0,0,0,0,259,0,0
64815,443,6,83.0,1,0,208.0,0,0,0,259,0,0
64815,443,6,76.0,1,0,734.0,0,0,0,259,0,0
443,64815,6,277650.0,1,0,54.0,0,0,0,2048,0,0
443,64815,6,0.0,1,0,54.0,0,0,0,2045,0,0
443,64815,6,0.0,1,0,92.0,0,0,0,2045,0,0
443,64815,6,0.0,1,0,96.0,0,0,0,2045,0,0
64815,443,6,104.0,1,0,54.0,0,0,0,259,0,0
443,64815,6,14591.0,1,0,523.0,0,0,0,2045,0,0
64815,443,6,22437.0,1,0,54.0,0,0,0,257,0,0
64816,443,6,514.0,1,0,66.0,0,0,0,64240,0,0
443,64816,6,138214.0,1,0,66.0,0,0,0,64240,0,0
64816,443,6,55.0,1,0,54.0,0,0,0,260,0,0
64816,443,6,305.0,1,0,273.0,0,0,0,260,0,0
64817,443,6,744.0,1,0,66.0,0,0,0,64240,0,0
443,64816,6,46173.0,1,0,54.0,0,0,0,501,0,0
443,64817,6,278715.0,1,0,66.0,0,0,0,65535,0,0
64817,443,6,142.0,1,0,54.0,0,0,0,260,0,0
64817,443,6,648.0,1,0,571.0,0,0,0,260,0,0
443,64816,6,30258.0,1,0,1414.0,0,0,0,501,0,0
64816,443,6,90.0,1,0,66.0,0,0,0,260,0,0
443,64817,6,287449.0,1,0,153.0,0,0,0,16387,0,0
64817,443,6,1994.0,1,0,491.0,0,0,0,259,0,0
443,64816,6,159968.0,1,0,1414.0,0,0,0,501,0,0
64816,443,6,62.0,1,0,66.0,0,0,0,260,0,0
443,64816,6,122683.0,1,0,1414.0,0,0,0,501,0,0
64816,443,6,39.0,1,0,66.0,0,0,0,260,0,0
443,64816,6,193.0,1,0,1414.0,0,0,0,501,0,0
64816,443,6,24.0,1,0,66.0,0,0,0,260,0,0
443,64817,6,41136.0,1,0,1414.0,0,0,0,16385,0,0
443,64817,6,354.0,1,0,1414.0,0,0,0,16385,0,0
443,64817,6,0.0,1,0,1414.0,0,0,0,16385,0,0
443,64817,6,0.0,1,0,505.0,0,0,0,16385,0,0
64817,443,6,165.0,1,0,54.0,0,0,0,260,0,0
64817,443,6,3472.0,1,0,2008.0,0,0,0,260,0,0
443,64816,6,82901.0,1,0,70.0,0,0,0,501,0,0
64816,443,6,71.0,1,0,54.0,0,0,0,260,0,0
443,64816,6,96.0,1,0,599.0,0,0,0,501,0,0
64816,443,6,4062.9999999999995,1,0,180.0,0,0,0,258,0,0
443,64816,6,136349.0,1,0,344.0,0,0,0,501,0,0
64816,443,6,2062.0,1,0,396.0,0,0,0,257,0,0
443,64817,6,76961.0,1,0,157.0,0,0,0,16389,0,0
443,64817,6,492.00000000000006,1,0,519.0,0,0,0,16386,0,0
64817,443,6,84.0,1,0,54.0,0,0,0,258,0,0
64817,443,6,646.0,1,0,78.0,0,0,0,258,0,0
64817,443,6,100.0,1,0,54.0,0,0,0,258,0,0
64816,443,6,241620.0,1,0,396.0,0,0,0,257,0,0
443,64817,6,59972.0,1,0,54.0,0,0,0,16386,0,0
64816,443,6,250394.99999999997,1,0,396.0,0,0,0,257,0,0
443,64816,6,95896.0,1,0,1368.0,0,0,0,501,0,0
64816,443,6,42031.0,1,0,54.0,0,0,0,260,0,0
62709,443,6,2357647.0,1,0,55.0,0,0,0,257,0,0
64561,443,6,1978344.0,1,0,55.0,0,0,0,255,0,0
62709,443,6,24273.0,1,0,55.0,0,0,0,257,0,0
443,64561,6,153490.0,1,0,66.0,0,0,0,46,0,0
443,62709,6,275449.0,1,0,66.0,0,0,0,501,0,0
